instance_id,music_genre
48564,Rap
72394,Blues
88081,Rap
78331,Country
72636,Alternative
74228,Blues
39106,Alternative
78829,Country
91469,Country
54558,Blues
44055,Anime
29671,Classical
56323,Rock
54809,Blues
55369,Rap
68566,Rap
53565,Alternative
69565,Country
39014,Rap
28452,Electronic
40219,Blues
41832,Hip-Hop
50963,Blues
58058,Country
41339,Country
25263,Anime
30932,Rap
65113,Blues
43628,Blues
82352,Rap
25868,Electronic
57582,Country
64912,Rap
30690,Blues
58160,Rap
48352,Electronic
32598,Alternative
81733,Electronic
68478,Country
61070,Jazz
87062,Jazz
50604,Alternative
51443,Rock
79739,Country
52375,Electronic
43645,Rock
51950,Blues
62180,Electronic
91491,Rap
57217,Anime
30912,Blues
37289,Rap
58378,Rap
83848,Blues
88071,Anime
78696,Electronic
73721,Rock
21431,Classical
33066,Country
71571,Blues
54360,Country
61237,Anime
43763,Alternative
53222,Rap
24144,Hip-Hop
35526,Blues
79272,Country
28682,Rap
78220,Classical
42113,Country
29197,Electronic
73749,Electronic
76959,Jazz
32662,Country
28240,Blues
78684,Rap
23339,Rock
66580,Electronic
62293,Blues
73224,Blues
63436,Anime
85265,Electronic
49131,Blues
42894,Blues
32778,Blues
88626,Country
20474,Rap
57621,Blues
68702,Alternative
68429,Hip-Hop
48412,Country
31462,Rap
20258,Jazz
80048,Anime
36643,Country
51269,Alternative
36620,Anime
47393,Anime
34229,Blues
27054,Blues
74946,Blues
79753,Classical
78997,Blues
90739,Rap
34604,Electronic
48875,Blues
72374,Rock
84383,Alternative
82285,Alternative
49168,Country
35219,Rap
72531,Blues
37626,Alternative
74540,Electronic
22782,Blues
59663,Rap
65605,Rock
63227,Electronic
27942,Blues
61120,Rap
59041,Rap
67531,Blues
89417,Blues
51652,Blues
23769,Rap
88512,Hip-Hop
69103,Country
25734,Blues
35192,Country
77761,Anime
58002,Rap
27331,Hip-Hop
90879,Rap
66951,Alternative
21111,Country
36583,Blues
69430,Alternative
26846,Rap
54227,Classical
79612,Blues
36250,Blues
71243,Electronic
41033,Classical
58600,Rap
64358,Rap
55882,Electronic
67981,Alternative
78157,Country
39280,Blues
65167,Anime
50033,Rap
34067,Country
71541,Blues
58044,Classical
67611,Rap
88524,Electronic
50007,Rock
36733,Jazz
55966,Alternative
29854,Country
47533,Country
84957,Alternative
27733,Blues
88890,Rock
71105,Rap
87402,Alternative
81300,Jazz
25948,Electronic
30686,Rock
27597,Classical
46658,Electronic
33241,Blues
34855,Rap
39290,Country
61297,Rap
79393,Rap
85447,Country
24779,Classical
21888,Alternative
22450,Rap
21637,Blues
76444,Alternative
34627,Anime
30361,Electronic
22862,Rap
55635,Rap
39392,Alternative
21530,Blues
53803,Electronic
79904,Electronic
79589,Rock
38281,Electronic
26187,Blues
65289,Country
38631,Alternative
34026,Anime
81881,Country
25877,Jazz
79755,Alternative
67894,Blues
50248,Rock
32074,Blues
41890,Blues
36233,Alternative
63019,Electronic
31135,Electronic
91653,Classical
67493,Rap
45720,Country
78113,Blues
66990,Alternative
33226,Rap
43840,Alternative
66599,Electronic
37709,Classical
89646,Blues
41952,Blues
90953,Classical
26762,Electronic
62414,Alternative
54492,Alternative
22070,Blues
34735,Anime
37276,Blues
91709,Country
79337,Anime
32555,Blues
28310,Rap
60154,Rap
89947,Blues
67061,Rock
82280,Country
67551,Alternative
49912,Blues
44285,Country
62759,Blues
26763,Rock
88251,Blues
21144,Rap
39166,Blues
58756,Electronic
74087,Rap
58075,Blues
49533,Country
79989,Electronic
58425,Electronic
62607,Classical
85075,Blues
56756,Rock
28898,Rap
42118,Alternative
55409,Rap
31714,Alternative
41361,Rap
30503,Country
45222,Blues
68913,Rock
74995,Rap
47775,Rock
37384,Anime
49180,Jazz
28678,Classical
42464,Country
79508,Alternative
62403,Electronic
40756,Rap
85665,Country
79277,Anime
23449,Rap
82350,Rock
61130,Country
55562,Rap
78807,Country
67592,Blues
58204,Rock
42874,Rap
76341,Alternative
47432,Classical
22904,Blues
42683,Electronic
72925,Jazz
25202,Rap
23994,Rap
41096,Blues
53503,Alternative
83671,Country
59711,Rap
61562,Alternative
67914,Blues
50650,Electronic
32141,Rap
50317,Classical
51665,Anime
70042,Anime
27911,Blues
40311,Rap
49904,Rap
47588,Electronic
44657,Blues
23053,Alternative
42143,Country
77852,Classical
58240,Blues
67419,Blues
75524,Alternative
29774,Hip-Hop
60161,Electronic
45935,Classical
50100,Rap
27735,Blues
22155,Anime
28074,Anime
70652,Country
73891,Classical
67578,Classical
48379,Country
53364,Rap
46115,Blues
80693,Blues
86176,Rock
69079,Country
29436,Country
55813,Alternative
78708,Anime
81049,Blues
36822,Rap
22274,Electronic
41472,Blues
69744,Rock
85910,Rap
79522,Rap
86953,Rap
65953,Rap
70639,Anime
79193,Blues
35294,Blues
77931,Country
63066,Alternative
68106,Rock
85652,Jazz
68770,Blues
75085,Rap
80369,Blues
79286,Anime
63102,Alternative
86706,Rap
49496,Rap
43631,Electronic
28056,Rap
37736,Blues
60812,Blues
23204,Blues
54161,Country
30121,Country
66816,Rock
82621,Blues
28760,Rap
85574,Rap
27085,Electronic
58429,Country
39227,Classical
75952,Rap
83656,Alternative
58626,Blues
76948,Rap
40834,Anime
66252,Rap
59319,Classical
62342,Classical
32156,Electronic
35817,Country
77770,Country
25530,Electronic
67138,Rap
74197,Electronic
28720,Classical
34223,Anime
59705,Country
26142,Country
46526,Rap
23005,Rock
59474,Classical
45707,Blues
27027,Classical
57553,Country
90987,Rap
41262,Electronic
78385,Alternative
30750,Hip-Hop
65283,Blues
45981,Classical
65943,Rap
22917,Rap
81906,Electronic
47576,Classical
83134,Alternative
77843,Country
30061,Blues
85448,Anime
58815,Blues
39610,Classical
28228,Electronic
20724,Electronic
39201,Electronic
77056,Anime
52020,Electronic
22943,Rap
87928,Rap
91571,Electronic
35921,Alternative
86157,Classical
61361,Classical
61824,Country
91068,Country
26519,Country
54567,Rock
84864,Blues
86854,Rap
28672,Classical
89590,Rap
40950,Classical
84346,Rock
88444,Alternative
84165,Blues
54821,Blues
49692,Country
46715,Rap
52010,Rap
82981,Alternative
25725,Hip-Hop
30019,Blues
35896,Country
79523,Electronic
86615,Country
22846,Rap
69121,Rap
87501,Anime
60441,Anime
59679,Anime
73116,Blues
79128,Blues
77924,Blues
50103,Electronic
32687,Classical
36166,Anime
23042,Classical
86267,Classical
86002,Alternative
54217,Classical
32061,Alternative
90641,Classical
25215,Blues
76746,Alternative
55403,Rap
53545,Classical
28508,Blues
34635,Classical
83181,Electronic
40431,Rap
53432,Rap
72380,Country
91547,Alternative
21329,Alternative
48834,Rap
60260,Jazz
62596,Rap
88414,Jazz
27670,Blues
20184,Rap
74754,Alternative
51779,Blues
44229,Blues
38429,Electronic
52175,Blues
74508,Country
38226,Blues
88033,Rap
46508,Country
28366,Country
43879,Blues
76786,Country
79751,Blues
68264,Electronic
35263,Electronic
27380,Jazz
43617,Alternative
66753,Alternative
81392,Rock
87466,Blues
43503,Alternative
64420,Alternative
79663,Alternative
69705,Alternative
23454,Anime
89415,Blues
85299,Classical
52464,Electronic
87262,Electronic
82220,Hip-Hop
53978,Rap
26077,Alternative
34361,Classical
79197,Rap
44679,Rap
87060,Rock
69407,Electronic
24344,Alternative
32903,Anime
81260,Rap
87783,Blues
59070,Blues
84713,Country
39540,Alternative
87881,Electronic
62139,Country
34809,Electronic
25628,Blues
45163,Alternative
30628,Anime
88973,Rap
79958,Rap
39602,Electronic
67145,Alternative
31157,Rap
89361,Rock
38655,Rap
30081,Alternative
85900,Hip-Hop
73908,Country
40349,Blues
54879,Country
67338,Alternative
37894,Alternative
83715,Blues
27123,Electronic
91289,Classical
53547,Anime
78358,Blues
73070,Anime
85231,Electronic
57054,Rap
26421,Rap
84532,Rap
65393,Blues
27409,Electronic
54312,Alternative
74195,Alternative
48112,Blues
48227,Alternative
67568,Alternative
38819,Rap
29974,Blues
75851,Blues
38200,Blues
34119,Anime
47538,Classical
50199,Rap
27378,Country
54292,Electronic
25808,Hip-Hop
64587,Blues
75010,Rock
87791,Rap
85250,Alternative
62104,Electronic
57713,Alternative
79767,Country
57625,Blues
21071,Electronic
54208,Electronic
22607,Classical
28279,Rap
33901,Blues
35304,Alternative
73033,Blues
43728,Country
38952,Anime
35753,Rap
87301,Blues
68674,Electronic
89545,Jazz
84037,Blues
40629,Anime
66762,Rap
38489,Blues
50798,Rap
59440,Blues
65178,Blues
89685,Blues
75272,Electronic
86956,Rap
54030,Country
82915,Rap
52094,Alternative
51792,Rap
28284,Rap
20113,Country
87653,Rock
35743,Electronic
26678,Anime
73596,Blues
51560,Alternative
56709,Rap
24928,Electronic
53403,Jazz
22619,Alternative
53744,Classical
54616,Alternative
61554,Blues
69985,Alternative
77452,Alternative
23419,Country
33908,Alternative
28964,Country
76506,Electronic
33456,Rock
24191,Rap
71957,Rap
60030,Blues
67030,Country
48507,Blues
70915,Electronic
46551,Rock
89424,Jazz
44108,Rap
75115,Rap
22398,Country
80442,Alternative
28649,Rap
44755,Rap
40871,Jazz
81727,Blues
90895,Anime
80298,Blues
36834,Country
64081,Electronic
42371,Alternative
30453,Alternative
36618,Rap
61161,Anime
69958,Hip-Hop
77541,Blues
39478,Rap
53182,Country
91376,Country
74527,Classical
37367,Rap
85484,Alternative
78633,Anime
48596,Alternative
74826,Rap
80998,Electronic
53417,Rap
57049,Electronic
33615,Electronic
80751,Blues
61234,Blues
62521,Blues
23508,Alternative
87143,Electronic
77220,Anime
78207,Rap
39623,Country
39015,Electronic
67572,Alternative
82669,Country
46911,Rap
76013,Classical
80753,Hip-Hop
48074,Country
64825,Anime
63874,Blues
57271,Alternative
51202,Electronic
67118,Hip-Hop
83814,Blues
39573,Rock
84886,Alternative
86847,Electronic
82518,Alternative
42067,Alternative
48139,Rock
56337,Alternative
88537,Blues
59730,Alternative
32174,Alternative
73134,Anime
44579,Rap
31042,Electronic
73932,Alternative
88390,Alternative
83099,Country
84090,Rock
78602,Jazz
49931,Electronic
35740,Country
54430,Anime
36997,Electronic
46176,Alternative
59673,Alternative
79201,Rock
83689,Rap
84282,Rap
77132,Country
66739,Anime
88734,Alternative
83245,Blues
25710,Country
39970,Anime
76018,Country
44135,Rock
70179,Hip-Hop
83697,Electronic
36561,Blues
84578,Blues
70828,Country
83492,Rap
27262,Country
51203,Jazz
58158,Electronic
61086,Electronic
67100,Rock
25075,Country
88257,Country
51359,Blues
39806,Rap
83290,Classical
71123,Classical
75263,Rap
21285,Electronic
39144,Electronic
81556,Classical
75841,Blues
72512,Country
70076,Country
20475,Alternative
60876,Anime
66334,Rock
46536,Rap
21821,Rap
66861,Alternative
59942,Country
61748,Electronic
30388,Rap
38184,Rock
47767,Alternative
33039,Country
85876,Classical
49775,Alternative
33221,Alternative
20810,Country
36524,Blues
79824,Blues
28907,Rap
36410,Electronic
85580,Blues
62021,Rock
35234,Blues
41738,Alternative
30543,Blues
32989,Blues
28163,Rock
33828,Rock
67600,Rap
61671,Alternative
44146,Hip-Hop
63726,Rock
84088,Anime
28335,Blues
88531,Country
22198,Alternative
38212,Anime
66928,Blues
85196,Alternative
27991,Electronic
90666,Classical
31945,Anime
86909,Blues
69376,Rap
63721,Jazz
47711,Rap
26007,Blues
50041,Hip-Hop
23664,Anime
84668,Classical
59235,Blues
82927,Country
56602,Anime
51534,Country
29908,Country
62571,Classical
38427,Rap
49885,Rap
68035,Country
47258,Electronic
32688,Rap
69783,Jazz
58518,Blues
25785,Anime
40674,Anime
